# Estimated CEFR levels — OURS, not a published wordlist.
#
# Produced 2026-07-26 by independent raters over the cards that carry no
# published level and sit at zipf >= 3.0. Calibrated first against 420 cards
# that DO carry one (six raters, blind): 38 % exact, 91 % within one step,
# 91 % on the 'core vocabulary or beyond' boundary — against 26 / 76 / 71 %
# for deriving the level from frequency, the rule `info/PLANS.md` pt.3
# measured and rejected.
#
# Read that shape before using this file. The exact step is weak and the
# raters lean about a third of a level EASY. What is strong is the one
# boundary an official list attests, and on the Goethe half of the sample
# the estimate never once called a word 'core' that the list placed above.
#
# Per-level precision on words absent from the Goethe list (n=235): a1 83 %,
# a2 73 %, b2 39 %, c2 36 %, c1 26 %, b1 13 %. `b1` is the dumping ground.
#
# Consumed by vocab/levels.py into `cards.level_est` — never into `level`,
# and never into `band`, which picks one of 15 hand-painted brushes.
#
# lemma	level	conf
Abgeordnetenhaus	b2	high
Abgeordneter	b1	high
Abgleich	b2	low
Abgrund	b2	low
Abhang	a2	high
Abhilfe	b2	low
Abholung	a2	high
Abhören	b1	high
Abkehr	c1	medium
Abkommen	b2	low
Abkühlung	b2	high
Ablage	b1	high
Ablauf	b1	high
Ableben	c1	high
Ableitung	b2	high
Ablenkung	b1	high
Ablösung	b2	high
Abmachung	b1	high
Abmahnung	b2	medium
Abnahme	b1	high
Abnehmer	b2	medium
Abneigung	b1	high
Abnutzung	b2	high
Abo	b1	low
Abonnement	b1	high
Abpfiff	b1	low
Abrechnung	b1	high
Abreise	a2	high
Abreißen	b1	medium
Abriss	b2	high
Abriß	b2	low
Abruf	b2	high
Abrüstung	b1	high
Absage	b1	high
Abschaffung	b2	high
Abschaltung	b2	high
Abschaum	b1	low
Abscheu	b1	low
Abschlussarbeit	b1	high
Abschlussbericht	b1	high
Abschlussfeier	b1	high
Abschlussprüfung	b1	high
Abschlusstraining	b1	high
Abschottung	b2	high
Abschreckung	b2	high
Abschrift	b2	high
Abschuss	b2	medium
Abschuß	b2	high
Absehen	c1	low
Absenkung	b2	low
Absicherung	b2	low
Absolvent	b1	high
Abspaltung	b2	low
Abspann	b1	high
Absperrung	b1	medium
Absprache	b1	high
Abstammung	b2	high
Abstand	a2	high
Absteiger	b1	low
Abstieg	b2	low
Abstinenz	b2	high
Abstract	b2	high
Absurdum	c1	high
Abtei	b1	low
Abteilungsleiter	b1	high
Abtransport	b2	low
Abtreibung	b2	high
Abtrennung	b2	high
Abtretung	c1	low
Abwandlung	b2	high
Abwasser	b1	high
Abwechslung	b1	high
Abwehr	b1	high
Abwehrspieler	b1	high
Abweichung	b1	low
Abwertung	b2	high
Abwesenheit	b1	low
Abwicklung	b2	high
Abwägung	b2	high
Abzeichen	b1	high
Abzocke	b1	high
Abzug	b2	low
Abzweigung	b1	low
Access	b1	low
Accessoires	b1	low
Account	a2	medium
Account-Management	b2	low
Account-Managerin	b2	high
Achse	b2	high
Achtel	a2	high
Achtelfinale	b1	high
Achter	b2	low
Achterbahn	a2	high
Achtsamkeit	b1	high
Acker	a2	high
Ackerbau	b1	high
Ackerland	b1	high
Acryl	b2	high
Action	b1	high
Ad-hoc-Bildung	c2	high
Adapter	b1	high
Add-on	b1	low
Addition	a2	high
Adel	b1	low
Adelige	b1	high
Ader	b1	high
Adipositas	c1	low
Adjektiv	b1	high
Adjutant	b2	high
Adler	a2	medium
Adlige	b2	high
Admin	a2	high
Administration	b1	low
Administrator	b1	high
Admiral	b2	low
Adobe	c2	medium
Adoption	b1	high
Adressbuch	a2	high
Advent	a2	high
Adventskalender	a2	high
Adventszeit	a2	high
Affe	a1	high
Affekt	b2	high
Affiliate-Link	c1	low
Affinität	c1	low
Affront	c1	low
Affäre	b1	high
Afro	b1	high
Afro-Perücke	b1	high
After-Show-Party	b1	high
After-Work-Party	b1	low
Agenda	b1	high
Agent	b1	high
Agentin	b1	low
Agentur	b1	high
Aggression	b1	high
Aggressivität	b1	high
Agrarpolitik	b2	high
Aha-Erlebnis	b1	low
Ahorn	b1	high
Aids	b1	high
Aids-Hysterie	c1	low
Airbag	b1	high
Akademie	b1	high
Akademiker	b1	high
Akkord	b2	low
Akkordeon	a2	high
Akne	a2	high
Akte	b1	high
Akten	b1	low
Aktiengesellschaft	b2	high
Aktienmarkt	b1	low
Aktionismus	c1	low
Aktionär	b2	high
Aktiver	b1	low
Aktivierung	b2	medium
Aktivismus	b1	low
Aktivist	b1	high
Aktivistin	b1	high
Aktualität	b2	high
Akustik	b1	high
Akzeptanz	b2	high
Alarmanlage	b1	low
Album	a2	high
Aleppo-Kiefer	c2	low
Algebra	b1	high
Alibi	b1	high
Alien	a2	high
Alien-Entführung	b2	low
Alkoholiker	b2	high
Alkoholkonsum	b1	high
All-in-one-Gerät	b2	low
Allee	b1	low
Alleinerziehende	b1	high
Alleingang	b2	high
Alleinstehende	b1	high
Alleinstellungsmerkmal	c1	low
Allerheiligen	a2	low
Allerlei	b2	low
Allgemeinbildung	b1	low
Allgemeinheit	b2	low
Allradantrieb	b1	low
Allrounder	b1	high
Alltagsleben	a2	high
Alm	b1	medium
Almosen	c1	high
Alp	c1	low
Alpha-Zerfall	c2	low
Alptraum	b1	high
Altar	b1	high
Altbau	b1	medium
Alte	b1	low
Altenpflege	b1	high
Altenpfleger	b1	low
Alternativer	b2	low
Altersarmut	b2	high
Altersgrenze	b1	high
Altersgruppe	a2	high
Altersklasse	b1	low
Altersversorgung	b1	high
Altersvorsorge	b2	high
Altertum	b2	low
Altlasten	b2	high
Alufolie	a1	high
Aluminium	a2	high
Aluminium-Legierung	c2	high
Alzheimer	b2	low
Alzheimer-Krankheit	b2	high
Amateur	b1	high
Ambiente	b1	high
Ambulanz	b1	high
Amen	b1	low
Amerikaner	a1	high
Amerikanerin	a2	high
Amerikanisch	b1	low
Amoklauf	b2	low
Amp	b2	low
Ampel-Aus	c1	low
Amtsblatt	c1	low
Amtsgericht	b2	low
Amtsinhaber	b1	high
Amtssprache	b1	high
Amtsträger	b2	high
Analysis	c1	low
Analyst	b2	high
Ananas	a1	high
Anarchismus	c1	high
Anarchist	b2	high
Anbau	b1	low
Anbeginn	c1	high
Anbetung	c1	high
Anbindung	b2	low
Anbringung	b1	high
Andacht	b2	medium
Andenken	b1	low
Andersdenkende	b2	high
Androhung	b2	high
Android	b2	low
Aneignung	b2	high
Anekdote	b1	high
Anfahrt	a2	high
Anfall	b1	low
Anfangsbuchstaben	a2	high
Anfangsphase	b1	low
Anfangszeit	a2	high
Anfechtung	c1	high
Anfertigung	b2	low
Anflug	b1	low
Anfänger	a2	low
Anführer	b1	high
Anführungszeichen	a2	high
Angaben	a2	low
Angeben	b1	low
Angehöriger	b2	low
Angel	b1	high
Angeln	a2	high
Anger	c1	low
Angesicht	c2	low
Angestellter	b1	high
Angewohnheit	b1	high
Angleichung	b2	high
Angler	a2	high
Angreifer	b1	high
Angriff	b1	high
Anhalt	c2	low
Anhalten	b1	low
Anhalter	b1	high
Anhaltspunkt	b2	high
Anhang	b1	high
Anhebung	b2	high
Anhieb	b1	high
Anhänger	b1	high
Anhängerschaft	b2	high
Anhöhe	b1	high
Anhörung	b2	high
Animation	b1	high
Anime	a2	medium
Anis	b1	low
Ankauf	b2	high
Anker	b1	low
Anklang	b2	high
Anklicken	b1	low
Ankläger	b1	low
Ankündigung	b1	high
Anlass	b1	high
Anlaufstelle	b2	high
Anleger	b2	medium
Anlehnung	b2	medium
Anleihe	b2	high
Anliegen	b1	high
Anmerkung	b1	high
Anmut	c1	high
Anno	c2	low
Annäherung	b2	high
Anomalie	b2	high
Anonymität	b2	high
Anordnung	b2	high
Anpassung	b2	high
Anpfiff	b1	low
Anrechnung	c1	low
Anrecht	b1	low
Anregung	b2	low
Anreise	a2	high
Anreiz	b2	high
Anrufer	a2	medium
Ansammlung	b1	low
Anschaffung	b1	low
Anschaffungskosten	b2	high
Anschauung	b2	low
Anschein	b2	high
Anschluss	b1	high
Anschlusstreffer	b2	medium
Anschlußstelle	b1	low
Anschreiben	b1	high
Anschrift	a2	high
Anschuldigung	b1	high
Ansicht	b1	high
Ansiedlung	b2	high
Ansinnen	c1	high
Anspannung	b1	low
Ansporn	b1	low
Ansprache	b2	high
Ansprechpartner	b1	low
Anstand	b2	high
Ansteckung	b1	high
Anstellung	b1	high
Anstieg	b1	high
Anstiftung	c1	high
Anstoß	b1	high
Anstoßen	b2	medium
Anstrengung	b1	high
Anstrengungen	b1	low
Anstrich	b1	high
Ansturm	b1	high
Anteil	b1	low
Anteilnahme	b2	low
Anteilseigner	b2	high
Antenne	a2	high
Anthologie	b2	low
Anthropologie	c1	high
Anti-AKW-Demonstration	b2	low
Anti-Nazi	b1	low
Anti-Schuppen-Shampoo	a2	high
Anti-Terror-Mission	c1	low
Anti-Utopie	b2	high
Antifa	c1	low
Antifaschismus	b2	high
Antiquitäten	b1	medium
Antisemitismus	b2	high
Antlitz	c1	low
Antragsteller	b2	low
Antritt	b2	high
Anus	b1	high
Anwachsen	b2	high
Anwaltskanzlei	b1	low
Anweisung	b1	high
Anwendung	b1	high
Anwendungsbereich	b2	high
Anwesende	b1	low
Anwesenheit	b1	high
Anwohner	b1	high
Anwältin	a2	high
Anwärter	b1	high
Anzeichen	b2	low
Anzeiger	b2	medium
Anziehung	b1	high
Anziehungskraft	b2	high
Anzünden	b1	low
Anästhesie	b2	medium
Apfelsaft	a1	high
Apokalypse	b2	low
Apostel	c1	medium
Apotheker	a2	high
App	a1	high
Appartement	a2	high
Appell	b1	high
Applaus	b1	low
Applikation	c1	low
Approbation	c1	low
Aquarell	b1	high
Aquarium	a1	high
Ar	c2	high
Arabisch	a1	high
Arbeiterbewegung	b1	high
Arbeiterklasse	b2	high
Arbeiterschaft	b1	low
Arbeitsagentur	b1	high
Arbeitsalltag	b1	high
Arbeitsamt	a2	high
Arbeitsaufwand	b1	high
Arbeitsbedingungen	b2	high
Arbeitsgemeinschaft	b1	low
Arbeitsgericht	b2	high
Arbeitsgruppe	b1	high
Arbeitskraft	b2	medium
Arbeitskreis	b1	high
Arbeitskräfte	b2	low
Arbeitslager	b1	high
Arbeitsleben	b1	high
Arbeitslose	b1	high
Arbeitslosengeld	b1	high
Arbeitslosenquote	b2	high
Arbeitslosenversicherung	b1	high
Arbeitsmarkt	b2	high
Arbeitsort	a2	high
Arbeitsrecht	b2	high
Arbeitsschutz	b2	high
Arbeitsspeicher	b2	high
Arbeitsstelle	b1	low
Arbeitsstunden	a2	high
Arbeitsteilung	b2	high
Arbeitsverhältnis	b1	high
Arbeitsweise	b1	high
Arbeitswelt	b2	high
Arbeitszeit	a2	high
Arbeitszimmer	a1	high
Arche	b2	low
Architekt	a2	high
Architektin	a2	high
Architekturbüro	b1	high
Archäologie	b1	high
Arena	b1	high
Argument	b1	high
Arie	b1	low
Arktis	a2	high
Armband	a2	high
Armbanduhr	a2	high
Armbrust	b1	low
Arme	b1	low
Armee	a2	high
Armee-Einheit	b2	high
Armer	b1	low
Armutsgrenze	b2	high
Armutszeugnis	c1	low
Aroma	a2	high
Arrangement	b1	medium
Array	c1	high
Arrest	b1	low
Arroganz	b1	high
Arsch	b1	high
Arschloch	b1	low
Arsen	b2	low
Arsenal	b2	high
Art	a2	high
Artenschutz	b2	high
Artenvielfalt	b2	high
Arthritis	b1	high
Artillerie	c1	low
Artist	b1	medium
Arznei	b1	low
Arzneimittel	b1	high
As	b1	low
As-Dur	c2	high
Asbest	b1	low
Asche	b1	high
Aschenbecher	a2	high
Aschermittwoch	b1	low
Asi	b1	low
Asphalt	a2	high
Ass	a2	high
Assessment-Center	b2	low
Assi	b1	high
Assimilation	b2	low
Assist	b1	high
Assistent	b1	low
Assistentin	a2	high
Assistenz	b1	high
Assoziation	b1	high
Ast	a2	high
Asthma	b1	low
Astronaut	a2	high
Astronomie	b1	low
Asylantrag	b1	high
Asylbewerber	b1	high
Asylrecht	b1	high
Asylverfahren	b1	high
Asylwerber	b2	high
Atelier	b1	low
Atem	b1	low
Atemnot	b1	low
Atemzug	b1	high
Atheismus	b2	high
Atheist	b1	high
Athlet	a2	high
Atlantik	a2	low
Atlas	a2	high
Atmosphäre	b1	high
Atmung	b1	high
Atom	a2	high
Atom-U-Boot	b1	medium
Atomausstieg	b1	high
Atombombe	b1	high
Atomenergie	b1	high
Atomkraftwerk	b1	low
Atommüll	b2	high
Atrium	c1	high
Attacke	b1	low
Attentat	b2	high
Attentäter	b1	high
Attest	b1	high
Attitüde	b2	low
Attraktion	b1	low
Attraktivität	b1	high
Attribut	b2	high
Au-pair	a2	high
Aua	a1	high
Audienz	c1	low
Audio	a2	high
Audio-CD	a2	high
Audio-Designer	c1	low
Auditorium	b1	high
Aufarbeitung	b2	high
Aufbau	b1	high
Aufbereitung	c1	low
Aufbewahrung	b1	high
Aufbruch	b2	high
Aufdeckung	b2	high
Aufdruck	b1	high
Aufenthalt	b1	high
Aufenthaltsort	b1	low
Auferstehung	b2	low
Auffahrt	b1	low
Auffinden	b2	high
Aufforderung	b2	high
Aufgabenbereich	b1	low
Aufgang	b1	low
Aufhebung	b2	high
Aufkleber	a2	high
Aufklärer	c1	low
Aufkommen	b2	low
Aufladung	b2	high
Auflage	b2	high
Auflauf	b1	low
Auflistung	b1	high
Auflösung	b2	high
Aufmarsch	b2	low
Aufmerksamkeit	b1	high
Aufprall	b1	high
Aufrechterhaltung	c1	high
Aufreger	b2	medium
Aufrichtigkeit	b1	high
Aufrüstung	b2	high
Aufsatz	b1	high
Aufschlag	b2	low
Aufschluss	c1	low
Aufschluß	c1	high
Aufschrei	b2	high
Aufschrift	b1	high
Aufschub	b2	high
Aufsehen	b2	high
Aufseher	b1	high
Aufsicht	b1	high
Aufsichtsbehörde	b2	high
Aufsichtsratsvorsitzender	c1	high
Aufspüren	b2	high
Aufsteiger	b1	low
Aufstockung	b2	high
Auftakt	b2	low
Aufteilung	b1	high
Auftritt	b1	high
Aufwand	b1	high
Aufwertung	b2	medium
Aufwind	b2	low
Aufwärtstrend	b2	high
Aufzeichnung	b1	high
Aufzucht	b2	low
Aufzählung	b1	medium
Auge-Hand-Koordination	b2	low
Augen-Make-up	a2	high
Augenarzt	a2	high
Augenfarbe	a2	high
Augenhöhe	b2	low
Augenmaß	b2	low
Augenmerk	c1	high
Augenschein	c1	low
Augenzeuge	b1	low
Augenzwinkern	b1	low
Auktion	b1	high
Auktionshaus	b1	high
Aula	b1	high
Aura	b1	high
Ausarbeitung	b2	medium
Ausbeute	b2	high
Ausbeutung	b2	high
Ausbildungsberuf	b1	high
Ausbildungsplatz	b1	low
Ausbreitung	b2	low
Ausbruch	b2	high
Ausdauer	b1	high
Ausdehnung	b2	high
Ausdrucksweise	b1	high
Auseinandersetzung	b2	high
Ausfall	b1	high
Ausflugsziel	b1	high
Ausführung	b2	high
Ausgangslage	b2	high
Ausgangspunkt	b2	medium
Ausgangssituation	b2	high
Ausgestaltung	b2	high
Ausgleich	b2	high
Ausgrenzung	b2	medium
Aushängeschild	b2	high
Auskommen	b2	low
Auslage	b1	high
Auslassen	b2	high
Auslastung	b2	low
Auslauf	b1	high
Auslaufen	b2	high
Auslegung	b2	low
Auslese	b2	low
Auslieferung	b2	low
Auslosung	b1	low
Ausländerbehörde	b2	low
Ausläufer	b2	high
Auslöser	b1	high
Ausnahmezustand	b2	medium
Ausprägung	c1	low
Auspuff	a2	high
Ausrede	b1	high
Ausreise	b1	low
Ausrichter	b1	low
Ausrichtung	b2	low
Ausrottung	b2	high
Ausrufezeichen	a2	high
Aussagekraft	b2	high
Ausschalten	a2	high
Ausscheiden	b1	low
Ausschlag	b1	high
Ausschluss	b2	high
Ausschnitt	b1	high
Ausschreibung	c1	low
Ausschuss	b2	high
Ausschüttung	b2	high
Aussetzung	b2	low
Aussichtsplattform	a2	high
Aussichtspunkt	a2	high
Ausspruch	b1	low
Ausstattung	b1	high
Aussteller	b1	medium
Aussterben	b2	high
Ausstieg	b2	high
Ausstrahlung	b2	low
Austragung	b2	high
Austragungsort	b1	high
Austritt	b2	high
Ausverkauf	a2	high
Auswahlverfahren	b1	low
Auswanderer	b1	high
Auswanderung	b1	high
Ausweg	b1	high
Ausweisung	b2	high
Ausweitung	b2	high
Auswirkung	b2	high
Auswärtige	b1	low
Auswärtssieg	b1	high
Auswärtsspiel	b1	medium
Auszahlung	b1	low
Auszeit	b1	high
Auszubildende	b1	high
Auszählung	b1	high
Authentizität	b2	low
Autismus	b1	high
Auto-Cross	b2	low
Autobauer	b1	low
Autobiografie	b1	high
Autobiographie	b1	high
Autofahren	a2	high
Autofahrer	b1	low
Autofahrt	a2	high
Autogramm	a2	high
Autohersteller	b1	low
Autoindustrie	b1	low
Automatik	b1	high
Automation	b1	high
Automobil	a2	low
Automotive	c1	low
Autopilot	a2	high
Autopsie	b1	low
Autoreifen	a1	high
Autorennen	a2	high
Autorin	b1	low
Autoverkehr	a2	high
Außenhandel	b1	high
Außenministerium	b1	high
Außenseite	a2	high
Außenseiter	b1	high
Außenspiegel	a2	high
Außenstehende	b1	high
Außenstelle	b1	medium
Außentemperatur	a2	high
Außenwand	a2	high
Außenwelt	b1	low
Außer-Haus-Verkauf	b2	medium
Avatar	b1	low
Avocado	a1	high
Axt	a2	high
Azubi	b1	high
Azur	c2	high
B-Führerschein	a2	low
B-Zelle	c2	high
BBC-Dokumentation	b1	low
BWL-Student	b1	high
BWL-Studentin	b1	low
BWL-Studium	b1	low
Bach	a2	high
Bachelorarbeit	b1	high
Backe	a2	high
Backhaus	b2	low
Backofen	a1	high
Backstage	b1	low
Backup	b1	high
Backwaren	a2	high
Bacon	b1	low
Badeanzug	a2	high
Badehose	a1	high
Bademantel	a2	high
Bademeister	b1	high
Badesee	a1	high
Badezimmer	a1	high
Badminton	a2	high
Bafög	b2	low
Bagger	a2	high
Bahnlinie	a2	high
Bahnstrecke	a2	high
Bahnübergang	a2	high
Bai	b1	low
Balance	b1	high
Balken	b1	high
Ballast	b1	low
Ballen	b1	high
Ballon	a2	high
Balsam	b2	low
Bambus	a2	high
Bande	b1	high
Banjo	b1	high
Banker	b1	high
Bankett	b1	high
Bankier	b2	high
Bankrott	b2	high
Bankräuber	a2	high
Bann	b2	medium
Banner	a2	high
Baracke	b1	high
Barbarei	b2	low
Bariton	b2	low
Barkeeper	a2	high
Barmherzigkeit	c1	high
Barometer	b1	low
Barrel	b1	medium
Barren	b2	low
Barriere	b1	high
Barrierefreiheit	b2	high
Basar	b1	high
Baseball	a2	high
Baseball-Cap	a2	high
Baseballschläger	a2	low
Basics	b1	high
Basilika	b1	high
Basilikum	b1	high
Basis	b1	high
Basketball-WM	a2	high
Bass	a2	high
Bassist	a2	high
Bastard	b1	medium
Bauabschnitt	b1	high
Bauarbeiter	a2	high
Bauart	b2	high
Baubeginn	b1	medium
Bauchschmerzen	a1	high
Bauernhaus	a2	high
Baufirma	b1	high
Bauform	b2	high
Baugewerbe	b2	high
Bauingenieur	b1	high
Baujahr	b1	high
Baukosten	b1	high
Bauland	b2	low
Bauleiter	b2	high
Baumarkt	a2	medium
Baumaterial	a2	high
Baumeister	b1	low
Baumhaus	a2	high
Baumstamm	a2	high
Baurecht	b2	high
Baureihe	b1	low
Baustein	b1	high
Bausubstanz	c1	low
Bauteil	b1	high
Bauträger	b1	high
Bauunternehmen	b1	high
Bauunternehmer	b1	low
Bauvorhaben	b1	high
Bauwirtschaft	b2	high
Bauzeit	b1	low
Baß	b1	low
Beachtung	b2	high
Beamer	a2	high
Beanspruchung	b2	high
Beantwortung	b2	high
Bear	c1	low
Bearbeiter	b1	low
Beat	a2	high
Beatmung	b2	high
Beauftragte	b2	high
Beauftragter	b1	low
Beauty	b1	low
Beauty-Doc	b2	low
Bebauung	b2	medium
Bebauungsplan	b2	high
Beben	b1	high
Becher	a2	high
Becken	b1	high
Bedauern	b2	high
Bedenken	b2	high
Bedeutungslosigkeit	b2	high
Bedienstete	b2	high
Bedienung	b1	high
Bedrängnis	c1	high
Bedürfnis	b2	low
Bedürftige	b2	low
Beeinflussung	b2	high
Beeinträchtigung	b2	high
Beendigung	b2	high
Beet	a2	high
Befall	b2	medium
Befehl	b1	high
Befehlshaber	c1	low
Befestigung	b2	medium
Befinden	b2	medium
Befragte	b1	high
Befragung	b2	high
Befreiung	b2	high
Befriedigung	b2	high
Befristung	b2	low
Befruchtung	c1	low
Befähigung	b2	high
Befürworter	b2	high
Begabung	b1	high
Begegnung	b1	high
Begehren	c1	medium
Begehung	b2	low
Begierde	c1	high
Begleiter	b1	high
Begleiterin	b1	high
Begnadigung	b2	high
Begrenzung	b2	low
Begriff	b1	high
Begräbnis	b1	high
Begründer	b1	high
Begrüßung	b1	low
Begutachtung	c1	medium
Begünstigte	b2	high
Beharren	b2	low
Behebung	b2	low
Behinderung	b1	low
Behälter	b1	high
Beibehaltung	b2	high
Beichte	b2	medium
Beifahrer	a2	high
Beifahrersitz	a2	high
Beigeschmack	b1	low
Beihilfe	b2	high
Beil	b1	low
Beilegung	b2	high
Beileid	b1	high
Beinahe-Zusammenstoß	b1	high
Beirat	b2	high
Beisein	b2	low
Beistand	b1	high
Beitritt	b2	high
Beißen	a2	low
Bekanntenkreis	b1	high
Bekannter	a2	high
Bekanntgabe	b1	low
Bekanntheit	b1	low
Bekanntheitsgrad	b2	low
Bekanntmachung	b2	high
Bekanntschaft	b1	high
Bekenntnis	b2	low
Bekleidung	b1	low
Bekämpfung	b2	high
Belag	b1	medium
Belagerung	b1	low
Belang	c1	low
Belastbarkeit	b2	high
Belastung	b2	high
Belebung	b2	high
Belegschaft	b2	low
Belegung	b2	high
Belehrung	b1	low
Beleuchtung	b1	high
Belieben	b2	low
Beliebtheit	b1	high
Bellen	a2	high
Belohnung	b1	high
Belästigung	b2	high
Bemerkung	b1	high
Benachrichtigung	b1	high
Benefiz	b1	low
Benehmen	b1	low
Benennung	b1	high
Bengel	b1	medium
Benutzername	b1	high
Benutzung	b1	high
Benziner	b1	low
Beobachter	b1	high
Bequemlichkeit	b1	medium
Berater	b1	high
Beraterin	b1	high
Beratungsstelle	b1	high
Berechnung	b1	high
Berechtigung	b2	low
Bereicherung	b2	high
Bereitschaft	b1	high
Bereitstellung	b2	low
Berg-und-Tal-Bahn	a2	medium
Berg-und-Tal-Fahrt	b2	low
Bergbau	b1	low
Berge	a1	high
Bergland	a2	high
Bergmann	b1	low
Bergsteiger	b1	high
Bergung	b1	high
Berichterstatter	b1	high
Berichtigung	b2	high
Berliner	a2	high
Bernstein	b1	low
Berufsausbildung	b1	high
Berufsbildung	b1	high
Berufserfahrung	b1	high
Berufsfeuerwehr	b1	high
Berufsleben	b1	high
Berufstätigkeit	b1	high
Berufsverband	b1	low
Berufsverbot	b2	high
Berufswahl	b1	high
Beruhigung	b1	low
Berühmtheit	b1	high
Berührung	b1	low
Besatzung	b2	high
Besatzungsmacht	b2	high
Beschaffenheit	c1	medium
Beschaffung	b2	high
Bescheidenheit	b1	medium
Beschilderung	b1	high
Beschlagnahme	b2	high
Beschleunigung	b2	high
Beschluß	b2	high
Beschneidung	b2	high
Beschreibung	a2	high
Beschrieb	b2	low
Beschriftung	b1	high
Beschränkung	b2	high
Beschuss	b2	medium
Beschwerde	b1	high
Beschädigte	b1	high
Beschädigung	b1	high
Beschäftigte	b1	high
Beschützer	a2	high
Beseitigung	b2	high
Besetzung	b2	high
Besiedlung	b1	high
Besitz	b1	high
Besitzerin	b1	medium
Besoldung	b2	low
Besondere	b1	low
Besonderes	a2	high
Besonderheit	b1	high
Besorgnis	b2	high
Bessere	b1	high
Best-of	b1	low
Best-of-Album	b1	low
Best-of-CD	b1	low
Bestand	b2	high
Bestandsaufnahme	b2	high
Bestandteil	b2	low
Bestatter	b1	high
Bestechung	b1	high
Besteck	a2	high
Bestenliste	b1	high
Bester	a2	low
Bestes	b1	low
Besteuerung	b2	high
Bestie	b1	high
Bestleistung	b1	low
Bestrafung	b2	high
Bestrahlung	b2	high
Bestseller	b1	high
Bestzeit	b1	high
Beständigkeit	b2	high
Besucher	a2	high
Beta-Version	b1	low
Bete	a2	high
Beteiligte	b1	low
Beteiligung	b2	low
Beten	b1	low
Beton	b1	high
Betonung	b1	low
Betrachter	b1	high
Betrachtung	b2	high
Betragen	b2	low
Betreiber	b2	high
Betriebskosten	b1	high
Betriebsleiter	b1	high
Betriebssystem	b2	high
Betriebswirt	b2	high
Betriebswirtschaft	b2	high
Betriebswirtschaftslehre	b1	high
Betroffene	b2	high
Betroffenheit	b2	high
Betrunkene	b1	medium
Betrunkener	b1	medium
