# Spellings that are not headwords, adjudicated by hand, 2026-07-26.
#
# `forms.py::_capitalised_twins` catches the common shape and 129 of these
# 178 duplicates were already tagged by it. This file is only the residue it
# cannot reach by rule, plus the four it got wrong.
#
# action=form   this spelling is not a headword; tag it and point at `base`.
#               Mostly the LOWERCASE half of a noun pair (frieden, hering,
#               drittel): the rule only ever looks at the capitalised side,
#               so a spurious lowercase entry was invisible to it.
# action=keep   both spellings are real and must NEVER be tagged. `mal`
#               (zipf 6.28) was tagged `abbrev` and demoted in search — it is
#               one of the commonest particles in German.
#
# lemma	action	base	why
Y-Achse	form	y-Achse	орфографический вариант: Duden фиксирует «y-Achse» со строчной y (математическая условность обозначения осей н
YouTuber	form	Youtuber	по Duden нормативно «Youtuber» (заглавная только в начале слова, внутренняя T бренда YouTube не сохраняется); 
zwanzigstel	form	Zwanzigstel	das Zwanzigstel — существительное дроби (как Drittel), всегда с заглавной; пример строчной карточки грамматиче
Erstbeste	keep		тот же случай, что Nächstbeste — субстантивированное прилагательное, в русском «первый попавшийся» тоже не мен
mal	keep		Mal (случай/раз) и mal (при умножении) — разные части речи, но узкое значение «раз» в обоих случаях верно и по
Nächstbeste	keep		субстантивированное прилагательное (das Nächstbeste) и обычное прилагательное; в русском «первый попавшийся» т
Vorletzte	keep		субстантивированное прилагательное (der/die/das Vorletzte — человек) и обычное прилагательное; в русском «пред

# ── non-standard spellings, found 2026-07-26 by the rewritten example check ──
#
# Each of these has a card whose OWN examples spell the word differently, and
# the examples are right. `sponsoren` is the giveaway: it sits at zipf 3.82
# against `sponsern`'s 2.65, because wordfreq reads it as the plural of a noun
# — borrowed frequency, the disease `forms.py` exists to treat.
#
# Only the unambiguous ones are here. `Ermittelung`, `Seance`, `aufdringen`,
# `verkündigen` and `niederreißen` were REJECTED for this list: Duden attests
# them (or the defect is in the example, not the lemma), and demoting a real
# word to fix an example would be the more expensive mistake.
sponsoren	form	sponsern	не глагол: «sponsern»; zipf 3.82 унаследован от мн. ч. существительного
Intensivität	form	Intensität	лишнее «iv», примеры карточки пишут верно
zwangslos	form	zwanglos	лишняя соединительная «s», примеры карточки пишут верно
rückrufen	form	zurückrufen	глагола нет, есть существительное «der Rückruf»; примеры пишут «zurück…»
hinzuarbeiten	form	hinarbeiten	это «hinarbeiten» в форме с zu, а не отдельная лемма
